Measurement,Person,Value
1,Person A,4.988061928456079
2,Person A,5.049611521681573
3,Person A,5.000565863258921
4,Person A,4.997567269532777
5,Person A,5.123572929946113
6,Person A,4.994007134483499
7,Person A,5.057441018889848
8,Person A,5.019350747219478
9,Person A,5.049002987872044
10,Person A,5.005333785084217
11,Person A,5.131574018888145
12,Person A,4.912595443797425
13,Person A,5.037590338443399
14,Person A,5.013647815452683
15,Person A,4.954510364918329
16,Person A,5.019931570521969
17,Person A,5.00969643521844
18,Person A,4.992970878906705
19,Person A,5.040865398533195
20,Person A,4.929382354566806
21,Person A,4.974358320602442
22,Person A,5.034575230598046
23,Person A,4.933314275482864
24,Person A,5.033512111894417
25,Person A,4.946874937617805
26,Person A,5.019228086998205
27,Person A,5.024419920607485
28,Person A,5.060180675169565
29,Person A,4.99701361082872
30,Person A,5.094190101259157
31,Person A,5.075215945455652
32,Person A,4.955341659362284
33,Person A,4.927724595047103
34,Person A,5.008112882902543
35,Person A,4.905296323940007
36,Person A,5.0124287342541685
37,Person A,4.966157718472973
38,Person A,4.940250098946378
39,Person A,4.982678225528584
40,Person A,5.112333214408814
41,Person A,4.978704791272913
42,Person A,4.946888048785343
43,Person A,5.039394256076382
44,Person A,4.892662742514765
45,Person A,4.982437778302284
46,Person A,5.011784228202838
47,Person A,4.998429960387011
48,Person A,4.97850932223548
49,Person A,5.0852785862503005
50,Person A,5.002292939331531
51,Person A,4.935122308022698
52,Person A,4.945549630974783
53,Person A,5.10454677609552
54,Person A,5.009291323894371
55,Person A,4.947357269760209
56,Person A,5.002769056994522
57,Person A,4.987731533815831
58,Person A,4.985003496853536
59,Person A,4.979891290527226
60,Person A,5.051605737005666
61,Person A,4.979766987652196
62,Person A,5.034208878091537
63,Person A,4.9957454077809444
64,Person A,4.967996707825724
65,Person A,4.9900974002341005
66,Person A,4.974795114710559
67,Person A,5.040696487711387
68,Person A,4.912846551818358
69,Person A,4.931101725561124
70,Person A,4.941298210722628
71,Person A,5.054993003064239
72,Person A,5.025256412508849
73,Person A,4.998454047889549
74,Person A,5.011501414067021
75,Person A,5.088569785991625
76,Person A,5.000470703941477
77,Person A,5.005037806115252
78,Person A,4.9977393680540825
79,Person A,5.052302426091413
80,Person A,4.942467373202668
81,Person A,4.992874190299416
82,Person A,4.95685129282594
83,Person A,5.02671453791634
84,Person A,4.958260787518736
85,Person A,5.072684931016066
86,Person A,4.992727086061544
87,Person A,5.02087339346536
88,Person A,4.944832450684402
89,Person A,5.015139594033466
90,Person A,5.050304353267707
91,Person A,5.006116225213503
92,Person A,5.032721613056424
93,Person A,4.9660223222209705
94,Person A,4.991848604949432
95,Person A,4.96122923695953
96,Person A,5.063405377887565
97,Person A,5.071960860498406
98,Person A,4.958477833794802
99,Person A,4.993353867899858
100,Person A,4.948528286749194
1,Person B,5.069803698050466
2,Person B,5.041587958077174
3,Person B,5.021252908701334
4,Person B,5.141309932186259
5,Person B,5.045527636475928
6,Person B,4.985539381382432
7,Person B,4.968665400071118
8,Person B,4.930621485991604
9,Person B,4.966170008701546
10,Person B,5.029237113304888
11,Person B,5.0455205193756765
12,Person B,4.883322932265721
13,Person B,5.041441970416093
14,Person B,4.9794743500346685
15,Person B,5.039811033425168
16,Person B,5.082851365657607
17,Person B,4.89104935713992
18,Person B,4.983110724973582
19,Person B,4.9321960503014175
20,Person B,5.041046126119049
21,Person B,5.009258215553067
22,Person B,5.015220222423115
23,Person B,5.075876611501497
24,Person B,4.9636439028793315
25,Person B,5.031078272579772
26,Person B,4.954134337768889
27,Person B,4.96462843720791
28,Person B,5.041709710294643
29,Person B,4.998971913460112
30,Person B,5.09908468600592
31,Person B,5.024038901579484
32,Person B,5.045439988297359
33,Person B,4.987681412816238
34,Person B,5.010864768498063
35,Person B,5.058292003782181
36,Person B,4.992481332023324
37,Person B,5.006794379905056
38,Person B,5.076886620881607
39,Person B,5.001947124073363
40,Person B,4.984738162524176
41,Person B,5.0425717286632
42,Person B,5.050801687178706
43,Person B,5.064612265038147
44,Person B,4.942629292212809
45,Person B,5.018982029036564
46,Person B,5.0591723801731465
47,Person B,4.992648588909884
48,Person B,5.079562405168124
49,Person B,4.979977626184963
50,Person B,4.963354474013691
51,Person B,4.945445141328254
52,Person B,5.024138880740581
53,Person B,5.045115115172911
54,Person B,5.034386057722502
55,Person B,4.948769707258351
56,Person B,5.07489838224193
57,Person B,4.952616720967934
58,Person B,4.985293973830809
59,Person B,4.956749084745714
60,Person B,5.024447328090269
61,Person B,5.065342539815723
62,Person B,5.104845186984392
63,Person B,5.007652684227897
64,Person B,4.995423421664593
65,Person B,5.001599979979078
66,Person B,4.981971520677495
67,Person B,5.054352601294675
68,Person B,5.045214611468141
69,Person B,5.016350337313104
70,Person B,4.997758242788126
71,Person B,4.88127187618118
72,Person B,4.9210112049575905
73,Person B,4.99088839901038
74,Person B,5.008892072944114
75,Person B,4.970287448052158
76,Person B,5.034831674670143
77,Person B,4.956542865544924
78,Person B,4.950299116670236
79,Person B,5.021056061158555
80,Person B,4.987898987373626
81,Person B,4.971557678621152
82,Person B,5.0607728991259755
83,Person B,4.927884762186185
84,Person B,4.99387564210147
85,Person B,5.032415734259502
86,Person B,5.000651774192825
87,Person B,4.992895484056884
88,Person B,4.995204039970994
89,Person B,5.017547414519342
90,Person B,5.004271301491477
91,Person B,5.0186613652590655
92,Person B,5.009929390242448
93,Person B,4.970474855065219
94,Person B,5.012638240214715
95,Person B,5.01002900115157
96,Person B,4.981087772538773
97,Person B,4.986989074762391
98,Person B,4.970412746038155
99,Person B,4.909941112305098
100,Person B,4.969708716723236
1,Person C,5.06728342553105
2,Person C,5.000743139736797
3,Person C,4.993576599011889
4,Person C,5.025413133845845
5,Person C,5.095725823500697
6,Person C,4.938922579968849
7,Person C,5.027804173315488
8,Person C,4.968009181316513
9,Person C,4.9684118122035095
10,Person C,4.927401751796471
11,Person C,5.107136929683969
12,Person C,4.958069282486731
13,Person C,4.909611871923948
14,Person C,4.911238351631263
15,Person C,5.056819687620376
16,Person C,5.101982821876038
17,Person C,5.047100747607319
18,Person C,5.00047903768698
19,Person C,4.981124511758284
20,Person C,5.010824809035629
21,Person C,5.013784283107453
22,Person C,5.046634708814318
23,Person C,5.004175351992466
24,Person C,4.989264031975508
25,Person C,5.064401242149664
26,Person C,5.072606475575462
27,Person C,4.994877405051015
28,Person C,5.015819387496798
29,Person C,5.067147306989238
30,Person C,5.090367375098099
31,Person C,5.036010493479933
32,Person C,4.978437623671851
33,Person C,5.0251410616670675
34,Person C,4.984550034277741
35,Person C,4.997735825443439
36,Person C,4.960156630898665
37,Person C,4.971957675139927
38,Person C,4.968388748966204
39,Person C,4.998153033256809
40,Person C,5.018635331083085
41,Person C,4.884323217644198
42,Person C,4.994812186237905
43,Person C,5.050693597079437
44,Person C,5.0528606344593685
45,Person C,5.000709901166518
46,Person C,5.057152020583991
47,Person C,5.01649440585434
48,Person C,5.050433321630659
49,Person C,4.968687860184519
50,Person C,5.061102763083105
51,Person C,4.890805410075879
52,Person C,5.012990047723734
53,Person C,5.0563792789805655
54,Person C,4.979585604550361
55,Person C,5.086688411509506
56,Person C,4.990789688394853
57,Person C,5.058774494306239
58,Person C,5.060899724478701
59,Person C,5.018150958250583
60,Person C,4.937322634847394
61,Person C,4.980863674901174
62,Person C,5.082608588616191
63,Person C,5.098662673229739
64,Person C,5.007092052952334
65,Person C,5.097687851493474
66,Person C,5.00425515370376
67,Person C,4.992985159254052
68,Person C,4.996086599002135
69,Person C,5.065757026876398
70,Person C,5.0188372833131405
71,Person C,5.105143096307729
72,Person C,4.941140708477736
73,Person C,5.076806249989958
74,Person C,4.9024374928003
75,Person C,5.039887949481932
76,Person C,5.046274103709187
77,Person C,4.8935978342522155
78,Person C,5.041544401114243
79,Person C,4.984447961715477
80,Person C,5.000522161102409
81,Person C,5.018836032826768
82,Person C,5.052573433341167
83,Person C,5.022738347131171
84,Person C,4.977441362962393
85,Person C,4.975230631865533
86,Person C,5.003976823523036
87,Person C,5.020924657298771
88,Person C,5.085873928527693
89,Person C,4.962109557341677
90,Person C,5.0114670482734756
91,Person C,4.949412869419235
92,Person C,5.025665340946036
93,Person C,4.99854930892834
94,Person C,5.0041731312430775
95,Person C,4.925426654332002
96,Person C,5.0442516364875365
97,Person C,5.012339462899165
98,Person C,5.059541530898981
99,Person C,4.97791271882201
100,Person C,5.062398159362087
1,Person D,4.941860475294005
2,Person D,4.999280619774478
3,Person D,5.011919361991054
4,Person D,4.955128200643809
5,Person D,4.981290572546804
6,Person D,5.038364069189795
7,Person D,4.900665474046214
8,Person D,5.022799239353073
9,Person D,5.0364817859355115
10,Person D,4.9549228723570815
11,Person D,4.927990699204475
12,Person D,4.914871153765452
13,Person D,5.001273091038788
14,Person D,4.942538032190414
15,Person D,5.012700751837016
16,Person D,5.041960195477811
17,Person D,5.001103872667935
18,Person D,5.006894258509732
19,Person D,5.00100166229035
20,Person D,5.047209079292344
21,Person D,5.033534599826249
22,Person D,4.9265122897247355
23,Person D,4.991017804258111
24,Person D,5.010688669626648
25,Person D,5.024368277200154
26,Person D,4.934725479321725
27,Person D,5.0473267844313385
28,Person D,5.056639290648906
29,Person D,4.9987533366354775
30,Person D,5.002257865699723
31,Person D,4.969975281285143
32,Person D,5.026815415852653
33,Person D,4.926599183964502
34,Person D,4.987145800428418
35,Person D,5.027878724008549
36,Person D,4.956345062968294
37,Person D,4.986462880724846
38,Person D,4.932786130802613
39,Person D,5.179812920423714
40,Person D,5.06189469498409
41,Person D,4.923633639646506
42,Person D,4.913978704686428
43,Person D,4.9137605074398705
44,Person D,5.018015445859442
45,Person D,5.053606229001401
46,Person D,4.95344371276638
47,Person D,4.9766018400340135
48,Person D,4.9276802395806465
49,Person D,5.028968922420999
50,Person D,4.9691097417059344
51,Person D,4.953183708306738
52,Person D,5.008727743244153
53,Person D,5.024497015645423
54,Person D,5.016489805982211
55,Person D,5.010443037126793
56,Person D,5.008320401428722
57,Person D,4.941897345115959
58,Person D,4.978237247245482
59,Person D,4.971795937532473
60,Person D,4.983241329798637
61,Person D,4.976590380790532
62,Person D,5.088243628198431
63,Person D,4.93190397988642
64,Person D,4.998699591076368
65,Person D,5.084923956445103
66,Person D,5.020330286315116
67,Person D,5.031467204143836
68,Person D,5.04878733321047
69,Person D,4.9862803263543825
70,Person D,5.050454209378555
71,Person D,4.956761362034481
72,Person D,5.094661544437079
73,Person D,4.9711572955976475
74,Person D,5.0148118278917675
75,Person D,4.967861710295182
76,Person D,4.96269415103051
77,Person D,5.032231915478384
78,Person D,4.964271721663193
79,Person D,4.9960351912120124
80,Person D,5.073593085479753
81,Person D,5.005674067327192
82,Person D,4.959374637145932
83,Person D,4.984032553123723
84,Person D,4.990939962811385
85,Person D,4.986844749788698
86,Person D,4.9592084713670035
87,Person D,4.935767203826511
88,Person D,5.028886754035883
89,Person D,5.059311851968133
90,Person D,4.915272599759868
91,Person D,5.004712919720875
92,Person D,4.935733500820692
93,Person D,5.104398870163922
94,Person D,4.96535728711524
95,Person D,4.946747397607579
96,Person D,4.975043280568669
97,Person D,4.975928685084327
98,Person D,5.027020504677732
99,Person D,5.047123713433563
100,Person D,4.9688251711055305
1,Person E,4.94161247166245
2,Person E,4.956855598273323
3,Person E,4.953309879320328
4,Person E,5.028847496209195
5,Person E,5.075572418163311
6,Person E,5.007111146731199
7,Person E,4.973157765004413
8,Person E,5.0763488525985645
9,Person E,5.042223968830128
10,Person E,5.053120279785422
11,Person E,4.93089933131833
12,Person E,4.9909501961039675
13,Person E,5.060814865230064
14,Person E,5.020906605400167
15,Person E,5.032393575150918
16,Person E,5.059111522665598
17,Person E,4.998789096142421
18,Person E,4.988888176698012
19,Person E,4.9445880987275705
20,Person E,4.982903746684693
21,Person E,5.056221346852321
22,Person E,4.969820893412379
23,Person E,4.940855316399726
24,Person E,4.992484047172663
25,Person E,4.951947968168602
26,Person E,5.006134594655726
27,Person E,5.07601642049487
28,Person E,5.049866436573913
29,Person E,5.0301596710158085
30,Person E,4.9648015211150005
31,Person E,5.0161120946183955
32,Person E,4.966844195900578
33,Person E,4.94713201922369
34,Person E,5.001506365659025
35,Person E,5.016659874532592
36,Person E,5.046621722584454
37,Person E,4.962014657558243
38,Person E,5.001377679367165
39,Person E,4.914094126918449
40,Person E,4.981733854031003
41,Person E,5.074932006945776
42,Person E,5.10850645372246
43,Person E,5.003294849946621
44,Person E,4.989171972020564
45,Person E,4.9945660699331995
46,Person E,4.977881653780385
47,Person E,4.987346305603929
48,Person E,4.9119317760314924
49,Person E,4.928373137110214
50,Person E,4.955201838437699
51,Person E,4.958512760850236
52,Person E,4.980256495340595
53,Person E,4.989700762358314
54,Person E,4.990342877434399
55,Person E,4.973675460943853
56,Person E,5.021307751796246
57,Person E,5.021010521784302
58,Person E,5.012725566017496
59,Person E,5.029122846438701
60,Person E,4.978982062241856
61,Person E,5.051791581538188
62,Person E,4.980392313146307
63,Person E,4.981034189386551
64,Person E,4.948277471694196
65,Person E,5.074654451744337
66,Person E,5.067384883045859
67,Person E,5.0025607916917005
68,Person E,4.980190387224294
69,Person E,5.054526427324285
70,Person E,5.062428730865479
71,Person E,4.943377836179178
72,Person E,4.942424013541555
73,Person E,4.987830091704373
74,Person E,5.026391868473316
75,Person E,5.04668358144821
76,Person E,4.99483832441907
77,Person E,5.022238148070893
78,Person E,4.992162983504151
79,Person E,4.851366437530613
80,Person E,5.01245313878325
81,Person E,4.933053250606978
82,Person E,5.027697583944933
83,Person E,4.969167366597949
84,Person E,5.076074866609457
85,Person E,5.030439351159973
86,Person E,5.002826667009648
87,Person E,4.9922702301758735
88,Person E,4.959601016214634
89,Person E,5.039730323096084
90,Person E,4.971744838313669
91,Person E,4.926904028615791
92,Person E,5.006956285863399
93,Person E,5.065445475224221
94,Person E,4.987868741098496
95,Person E,4.94346095024977
96,Person E,5.004504825774648
97,Person E,4.990679966879797
98,Person E,5.000340630383371
99,Person E,4.967397241778971
100,Person E,4.973293931452736
